brand,domain,category,date,organic_traffic,organic_keywords,semrush_rank
Baby Phat,babyphat.com,legacy_streetwear,2025-11-15,42218,1514,48774
Baby Phat,babyphat.com,legacy_streetwear,2025-12-15,43166,8714,48837
Baby Phat,babyphat.com,legacy_streetwear,2026-01-15,45240,16236,45789
Baby Phat,babyphat.com,legacy_streetwear,2026-02-15,43351,17838,47179
Baby Phat,babyphat.com,legacy_streetwear,2026-03-15,55136,16807,38297
Baby Phat,babyphat.com,legacy_streetwear,2026-04-15,57717,18680,36927
Baby Phat,babyphat.com,legacy_streetwear,2026-05-15,77289,16056,27096
Baby Phat,babyphat.com,legacy_streetwear,2026-06-15,79979,4784,26874
FUBU,fubu.com,legacy_streetwear,2025-11-15,81930,4581,26598
FUBU,fubu.com,legacy_streetwear,2025-12-15,78713,2944,28266
FUBU,fubu.com,legacy_streetwear,2026-01-15,28934,3865,69126
FUBU,fubu.com,legacy_streetwear,2026-02-15,16130,4522,115434
FUBU,fubu.com,legacy_streetwear,2026-03-15,21919,3275,88797
FUBU,fubu.com,legacy_streetwear,2026-04-15,20979,2726,93059
FUBU,fubu.com,legacy_streetwear,2026-05-15,14130,1961,128974
FUBU,fubu.com,legacy_streetwear,2026-06-15,6982,706,243256
Phat Farm,phatfarm.com,legacy_streetwear,2025-11-15,13486,186,136908
Phat Farm,phatfarm.com,legacy_streetwear,2025-12-15,5360,180,303751
Phat Farm,phatfarm.com,legacy_streetwear,2026-01-15,5107,178,314787
Phat Farm,phatfarm.com,legacy_streetwear,2026-02-15,5093,191,312605
Phat Farm,phatfarm.com,legacy_streetwear,2026-03-15,5981,169,276014
Phat Farm,phatfarm.com,legacy_streetwear,2026-04-15,8293,170,211596
Phat Farm,phatfarm.com,legacy_streetwear,2026-05-15,14745,173,124074
Phat Farm,phatfarm.com,legacy_streetwear,2026-06-15,7387,204,232144
Karl Kani,karlkani.com,legacy_streetwear,2025-11-15,24208,1554,81063
Karl Kani,karlkani.com,legacy_streetwear,2025-12-15,19107,1833,101961
Karl Kani,karlkani.com,legacy_streetwear,2026-01-15,19421,3183,99243
Karl Kani,karlkani.com,legacy_streetwear,2026-02-15,19457,3126,97536
Karl Kani,karlkani.com,legacy_streetwear,2026-03-15,28989,1483,68963
Karl Kani,karlkani.com,legacy_streetwear,2026-04-15,25221,1895,78819
Karl Kani,karlkani.com,legacy_streetwear,2026-05-15,31693,2059,61736
Karl Kani,karlkani.com,legacy_streetwear,2026-06-15,25411,960,77493
Rocawear,rocawear.com,legacy_streetwear,2025-11-15,18662,958,102608
Rocawear,rocawear.com,legacy_streetwear,2025-12-15,19577,787,99786
Rocawear,rocawear.com,legacy_streetwear,2026-01-15,18190,876,105278
Rocawear,rocawear.com,legacy_streetwear,2026-02-15,8626,851,200648
Rocawear,rocawear.com,legacy_streetwear,2026-03-15,6984,629,242626
Rocawear,rocawear.com,legacy_streetwear,2026-04-15,10404,588,173668
Rocawear,rocawear.com,legacy_streetwear,2026-05-15,8813,554,195973
Rocawear,rocawear.com,legacy_streetwear,2026-06-15,10526,377,171143
Sean John,seanjohn.com,legacy_streetwear,2025-11-15,484,143,1655824
Sean John,seanjohn.com,legacy_streetwear,2025-12-15,192,99,2716713
Sean John,seanjohn.com,legacy_streetwear,2026-01-15,24,83,6107810
Sean John,seanjohn.com,legacy_streetwear,2026-02-15,16,103,6824658
Sean John,seanjohn.com,legacy_streetwear,2026-03-15,32,117,5683568
Sean John,seanjohn.com,legacy_streetwear,2026-04-15,61,105,4555022
Sean John,seanjohn.com,legacy_streetwear,2026-05-15,44,91,5135949
Sean John,seanjohn.com,legacy_streetwear,2026-06-15,21,53,6512974
Cross Colours,crosscolours.com,legacy_streetwear,2025-11-15,12300,2754,148559
Cross Colours,crosscolours.com,legacy_streetwear,2025-12-15,13544,2424,138079
Cross Colours,crosscolours.com,legacy_streetwear,2026-01-15,12767,2219,144212
Cross Colours,crosscolours.com,legacy_streetwear,2026-02-15,12036,2135,149845
Cross Colours,crosscolours.com,legacy_streetwear,2026-03-15,11683,1941,155717
Cross Colours,crosscolours.com,legacy_streetwear,2026-04-15,11069,1765,164470
Cross Colours,crosscolours.com,legacy_streetwear,2026-05-15,10838,1630,163318
Cross Colours,crosscolours.com,legacy_streetwear,2026-06-15,12112,1384,151475
Brother Vellies,brothervellies.com,indie_fashion,2025-11-15,5678,947,288022
Brother Vellies,brothervellies.com,indie_fashion,2025-12-15,7176,813,238870
Brother Vellies,brothervellies.com,indie_fashion,2026-01-15,7020,808,242007
Brother Vellies,brothervellies.com,indie_fashion,2026-02-15,6105,803,268727
Brother Vellies,brothervellies.com,indie_fashion,2026-03-15,7190,884,236730
Brother Vellies,brothervellies.com,indie_fashion,2026-04-15,5924,829,280703
Brother Vellies,brothervellies.com,indie_fashion,2026-05-15,5708,772,284615
Brother Vellies,brothervellies.com,indie_fashion,2026-06-15,5778,750,284691
Telfar,telfar.net,indie_fashion,2025-11-15,261353,39416,9049
Telfar,telfar.net,indie_fashion,2025-12-15,243843,38043,9908
Telfar,telfar.net,indie_fashion,2026-01-15,255196,43177,9194
Telfar,telfar.net,indie_fashion,2026-02-15,244553,42535,9532
Telfar,telfar.net,indie_fashion,2026-03-15,236891,39791,9924
Telfar,telfar.net,indie_fashion,2026-04-15,237490,39958,9930
Telfar,telfar.net,indie_fashion,2026-05-15,209531,33158,10563
Telfar,telfar.net,indie_fashion,2026-06-15,196424,15379,11455
Freddie Estelle,freddieestelle.com,indie_fashion,2025-11-15,61,21,4484990
Freddie Estelle,freddieestelle.com,indie_fashion,2025-12-15,58,11,4558288
Freddie Estelle,freddieestelle.com,indie_fashion,2026-01-15,56,12,4653937
Freddie Estelle,freddieestelle.com,indie_fashion,2026-02-15,40,17,5203683
Freddie Estelle,freddieestelle.com,indie_fashion,2026-03-15,40,12,5291381
Freddie Estelle,freddieestelle.com,indie_fashion,2026-04-15,40,10,5327021
Freddie Estelle,freddieestelle.com,indie_fashion,2026-05-15,40,7,5358536
Freddie Estelle,freddieestelle.com,indie_fashion,2026-06-15,0,4,21483560
Ami Cole,amicole.com,beauty,2025-11-15,14888,1476,125515
Ami Cole,amicole.com,beauty,2025-12-15,17457,521,110561
Ami Cole,amicole.com,beauty,2026-01-15,17806,350,107190
Ami Cole,amicole.com,beauty,2026-02-15,17999,345,104717
Ami Cole,amicole.com,beauty,2026-03-15,5225,253,308605
Ami Cole,amicole.com,beauty,2026-04-15,2705,257,524601
Ami Cole,amicole.com,beauty,2026-05-15,1070,161,1030692
Ami Cole,amicole.com,beauty,2026-06-15,76,6,4163842
